,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
56,ECAM Rennes Louis de Broglie,world rank  7577,"Campus de Ker Lann, Contour de antoine de saint exupéry
Bruz
35170 Bretagne
France",+33 (0)2 99 05 84 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
57,ECAM Strasbourg-Europe,world rank  8764,"Espace Européen de l’Entreprise 2, Rue de Madrid
Schiltigheim
67300 Grand Est
France",+33 (0)3 90 40 09 63,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
58,ECAM-EPMI,world rank  8813,"13 Boulevard de l'Hautil
Cergy-Pontoise
95092 Ile-de-France
France",+33 (0)1 30 75 60 40,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
59,Ecclesia College,world rank  8744,"9653 Nations Drive
Springdale
72762 Arkansas
United States",+1 (479) 248 7236,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Ecclesia Inc.
National Athletic Association (NAA)
National Christian College Athletic Association (NCCAA)",['Not reported']
60,ECE Paris,world rank  3631,"37 Quai de Grenelle
Paris
75015 Ile-de-France
France",+33 (0)1 44 39 06 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,"Conférence des Grandes Ecoles (CGE)
Union des Grandes Ecoles indépendantes (UGEI)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['housing', 'sports facilities']"
61,Eckerd College,world rank  1896,"4200 54th Avenue South
Saint Petersburg
33711-4700 Florida
United States",+1 (727) 867 1166,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Academy for Liberal Education (AALE)
American Chemical Society (ACS)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
62,Eckernforde Tanga University,world rank  Un,"PO Box 5079
Tanga
Tanga
Tanzania",+255 (27) 264 5936,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
63,École Centrale Casablanca,world rank  10023,"Ville Verte Côté Latéral Est à la forêt Boukoura
Casablanca
Casablanca-Settat
Morocco",+212 522 49 35 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
64,École Centrale de Lyon,world rank  511,"36, Avenue Guy de Collongue
Écully
69134 Auvergne-Rhone-Alpes
France",+33 (0)4 72 18 60 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Groupe des Écoles Centrales (GEC)
Coimbra Group","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
65,École Centrale de Marseille,world rank  2813,"38 rue Frédéric Joliot-Curie
Marseille
13013 Provence-Alpes-Cote d Azur
France",+33 (0)4 91 05 45 45,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Groupe des Écoles Centrales (GEC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
66,École Centrale de Nantes,world rank  1315,"1 Rue de la Noë; Boîte Postale 92101
Nantes
44321 Pays de la Loire
France",+33 (0)2 40 37 25 74,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Groupe des Écoles Centrales (GEC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
67,École Centrale des Logiciels Libres et des Télécommunications,world rank  12388,"Liberte 6, Villa N. 5463
Dakar
Dakar
Senegal",+221 33 868 1885,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['distant learning']
68,École Centrale Supérieure Privée de Technologie,world rank  Un,"Rue Abou Hamed Al Gazali
Sousse
4000 Sousse
Tunisia",+216 73236333,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
69,École de Biologie Industrielle,world rank  8457,"49 avenue de Genottes - CS90009
Cergy-Pontoise
95895 Ile-de-France
France",+33 (0)1 85 76 66 90,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Conference des Grandes Ecoles
Conference des Directeurs des Ecoles Françaises d'Ingénieurs
Union des Grandes Ecoles Indépendantes (UGEI)","École de Biologie Industrielle
|
School of Engineering","['library', 'housing', 'sports facilities', 'financial aid']"
70,École de Commerce de Valence,world rank  11341,"52 - 74 rue Barthélemy de Laffemas; BP 1023
Valence
26010 Auvergne-Rhone-Alpes
France",+33 (0)4 75 75 87 28,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Chambre de Commerce et d’Industrie de la Drome,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['financial aid']
71,École de Gestion et de Commerce d'Occitanie,world rank  10763,"5, rue de Bruxelles, Bourran
Rodez
12000 Occitanie
France",+33 (0)5 65 75 56 86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['financial aid']
72,École de Management de Normandie,world rank  3642,"9, rue Claude Bloch
Caen
14052 Normandie
France",+33 (0)2 31 46 78 78,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Union des Grandes Ecoles Indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
73,École de Management du Gabon,world rank  12933,"Mindoube 2
Libreville
Estuaire
Gabon",+241 44 11 83,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
74,École de Management Léonard de Vinci,world rank  6949,"Pôle Universitaire Léonard de Vinci
Paris La Défense
92916 Ile-de-France
France",+33 (0)1 41 16 75 64,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,Union des Grandes Ecoles Indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
